獎項,品牌店名,產品名稱,公司電話,地址
優質獎,小組餅乾製造所先生,原味曲奇,06-2430890,台南市永康區中正五街11巷12號
優質獎,台灣伊莎貝爾食品股份有限公司,香榭起士戀人一起士,04-25687890,台中市大雅區中清路三段735號
優質獎,新橋食品,巧克力蛋白棒,06-2438788,台南市永康區正南一街118巷9號
優質獎,樂食坊-好食包子製造所,奶酥葡萄鮮奶饅頭,06-5991818 / 06-5995252,台南市新市區大學裡豐榮188-25/26號
優質獎,小葉烘焙坊,貓狸龍餅,037-279266,苗栗市為公路554號
優質獎,NAOMA那歐瑪烘培,紅豆米雪芙,06-2056995,台南市永康區大灣路1044巷11號
優質獎,聯設,冰火菠蘿油,06-2056995,台南市永康區正強街205號
優質獎,朵朵心手作烘焙製作所,彩虹發給米蛋捲(梅甘肉鬆口味),06-2336358,台南市北區西門路四段544巷15號
優質獎,大星猴子手作餅乾,幸福塔酥,06-2825513,台北市大同區西寧北路67之1號
優質獎,和禦品,杏仁豆腐酥,02-77362633,新北市深坑區北深路三段270巷5號2樓
優質獎,葡萄古食品有限公司,只屬於美人-蝴蝶曲奇,02-26629140,台南市北區成功路200號
優質獎,號婚公正式烘培坊,明星淑女手指,02-26621276,新北市泰山區新北大道六段385號1樓
優質獎,明星西點食品有限公司,嘉義名產方塊酥,06-2263593,台北市中正區武昌街5號、7號一段
優質獎,弘家馨食品,米穀精萌磅蛋糕,02-29041768,嘉義縣水上鄉義興村曲子客20之1號
優質獎,新台灣餅鋪,綠茶酥,02-23317370,嘉義市西區中山路294號
優質獎,朝和餅鋪,綠茶酥,05-2891706,彰化縣鹿港民族鎮路165號
