序號,統一登記證編碼,旅館名稱,電話,行動電話,postalcode,countycode,areacode,營業地址,緯度,經度,房間總數,最低價格,最高價格,設有對外營業之餐飲業,星級評鑑
"1","國際觀光飯店","新竹國賓大飯店","(03)5151111","","300","10018","10018010","300新竹市東區中華路2段188號","24.8064021","120.978266","257","10000","105000","v","五星"
"2","國際觀光飯店","新竹老爺大酒店","(03)5631122","","300","10018","10018010","300新竹市東區光復路1段227號","24.7818819","121.0206846","208","8000","16000","v","五星"
"3","002","新苑庭園大飯店","(03)5226868","","300","10018","10018010","300新竹市東區大同路11號","120.969772","24.80301","65","6600","12600","0",""
"4","004","心園商務旅館","(03)5313525","","300","10018","10018010","300新竹市東區民權路223號","120.971966","24.811643","32","2200","4000","0","二星"
"5","006","微旅商務旅館","(03)5323183","","300","10018","10018010","300新竹市東區民生路268號","120.975287","24.81299","52","1380","9600","0",""
"6","012","豪美旅店","(03)5218441","","300","10018","10018010","300新竹市東區勝利路86號1-2F","120.969046","24.8013041","3","3000","3000","0",""
"7","020","紫晶汽車旅館","(03)5620789","","300","10018","10018010","300新竹市東區頂竹里東南街53巷18號","120.9729241","24.7992643","43","1700","4500","0",""
"8","021","煙波大飯店-麗池館","(03)5203181","","300","10018","10018010","300新竹市東區明湖路773號1-6樓","120.967642","24.775333","66","9900","24200","v",""
"9","022","煙波大飯店-溫莎館","(03)5203181","","300","10018","10018010","300新竹市東區明湖路775巷51號","120.970584","24.776403","23","4800","10000","0",""
"10","023","普邑斯商務旅館","(03)5428681","","300","10018","10018010","300新竹市東區東區民權路193號","120.973479","24.8099537","57","2730","2880","0",""
"11","024","煙波大飯店-都會一館","(03)6120000","","300","10018","10018010","300新竹市東區民生路177號","120.976038","24.811241","238","8800","17600","0",""
"12","028","老爺旅社","(03)5711585","","300","10018","10018010","300新竹市東區光復路二段167號","120.992305","24.799204","18","1380","4800","0",""
"13","030","金頓大飯店","(03)5646655","","300","10018","10018010","300新竹市東區光復路一段238號4-12樓","121.021061","24.782017","88","3000","5000","0",""
"14","032","左岸假期旅店","(03)5284800","","300","10018","10018010","300新竹市東區中華路二段502號","120.969459","24.800803","39","2880","3980","0",""
"15","033","華泰經典旅店","(03)5243145","","300","10018","10018010","300新竹市東區勝利路15號","120.969483","24.801128","41","1400","2000","0",""
"16","034","東賓大旅社","(03)5223161","","300","10018","10018010","300新竹市東區林森路14號","120.970593","24.801897","47","800","3950","0",""
"17","035","金燕大飯店","(03)5227151","","300","10018","10018010","300新竹市東區民族路13號","120.971641","24.803217","39","1180","1500","0",""
"18","036","柿子紅快捷旅店","(03)5223232","","300","10018","10018010","300新竹市東區大同路23巷5號","120.969323","24.803254","39","2800","5880","0",""
"19","041","賓城大旅社","(03)5269255","","300","10018","10018010","300新竹市東區中正路13號5-10樓","120.971006","24.802984","36","750","2300","0",""
"20","042","迎曦大飯店(文化店)","(03)5347266","","300","10018","10018010","300新竹市東區文化街10號2-10樓","120.971579","24.806165","174","8800","15000","0",""
"21","043","芝蘭賓館","(03)5254166","","300","10018","10018010","300新竹市東區中華路二段480號","120.970239","24.801339","48","680","3500","0",""
"22","044","元首大飯店","(03)5711111","","300","10018","10018010","300新竹市東區建功一路29號","120.997966","24.797262","32","1800","1800","0",""
"23","045","金座渡假汽車旅館","(03)5201833","","300","10018","10018010","300新竹市東區明湖路928-2，930號","120.97226","24.770503","25","1200","5500","0",""
"24","046","新都旅館","(03)5261131","","300","10018","10018010","300新竹市東區中南街12號","120.967763","24.801546","16","400","400","0",""
"25","047","國賓旅館","(03)5243164","","300","10018","10018010","300新竹市東區大同路21號","120.969571","24.803091","26","700","1100","0",""
"26","048","東城精品旅館","(03)5222648","","300","10018","10018010","300新竹市東區府後街5巷1號","120.970467","24.80516","28","600","800","0",""
"27","054","悅豪大飯店","(03)5267890","","300","10018","10018010","300新竹市東區復興路22號","120.969061","24.802881","35","2240","8980","0",""
"28","055","新苑名流都會館","(03)5211888","","300","10018","10018010","300新竹市東區大同路20號","120.969814","24.803314","35","6600","11600","0",""
"29","058","日月光國際大飯店","(03)5456363","","300","10018","10018010","300新竹市東區中央路355巷16號1，3-6樓","120.980442","24.81271","60","4800","6600","0",""
"30","059","湖山渡假汽車旅館","(03)5203000","","300","10018","10018010","300新竹市東區明湖路1001號","120.968467","24.772559","50","1580","1760","0",""
