專用標識編號,中文名稱,地址,經度,緯度,電話或手機
"新竹縣旅館001號","佳緹商務汽車旅館","302新竹縣竹北市中華路439-1號","121.005272","24.841064","03-6560016"
"新竹縣旅館003號","喜優汽車旅館","302新竹縣竹北市中華路329號","121.004835","24.83645","03-5559900"
"新竹縣旅館005號","喬蓮大飯店","302新竹縣竹北市台元街33號","121.0111695","24.8394543","03-5518171"
"新竹縣旅館006號","哈密瓜汽車旅館-竹北館","302新竹縣竹北市中華路1432號","120.991736","24.8615294","03-5519678"
"新竹縣旅館007號","雲端商務旅館","302新竹縣竹北市新泰路102號","121.008203","24.8399448","03-5510129"
"新竹縣旅館008號","千禧園汽車旅館","310新竹縣竹東鎮東榮路51,53,59號及55巷1,2,3,5-20號","121.0987239","24.7206153","03-5101101"
"新竹縣旅館009號","千里福商務旅館","305新竹縣新埔鎮義民路3段88號","121.0436088","24.8400945","03-5892008"
"新竹縣旅館010號","小叮噹科學遊樂區生活大師會館","304新竹縣新豐鄉松柏村康和路199號","120.9800356","24.8692117","03-5592132"
"新竹縣旅館011號","雀之巢汽車旅館","303新竹縣湖口鄉千禧路266號","121.0306699","24.8896273","03-5903828"
"新竹縣旅館012號","哈客汽車旅館","305新竹縣新埔鎮義民路3段362巷126號","121.0695787","24.827909","03-5888789"
"新竹縣旅館015號","統一渡假村-馬武督","306新竹縣關西鎮金山里34號","121.2225713","24.7713709","03-5478889"
"新竹縣旅館016號","關西六福莊生態渡假旅館","306新竹縣關西鎮仁安里拱子溝60號","121.180603","24.825239","03-5475365"
"新竹縣旅館017號","I NEED精品汽車旅館","304新竹縣新豐鄉上坑村3鄰坑子口379號","120.9748105","24.8865332","03-5571234"
"新竹縣旅館018號","萬瑞渡假村","312新竹縣橫山鄉橫山村23號","121.1223488","24.711924","03-5934096"
"新竹縣旅館020號","萊馥健康休閒渡假村","306新竹縣關西鎮玉山里2鄰12號","121.2111216","24.7527291","03-5476199"
"新竹縣旅館021號","雪霸休閒渡假旅館","311新竹縣五峰鄉桃山村20鄰民石380-2至380-8號","121.1022942","24.559407","03-5856192"
"新竹縣旅館022號","惟爾精品行旅","302新竹縣竹北市中華路340號之15","121.004869","24.834607","03-5519261"
"新竹縣旅館023號","享豪大飯店","302新竹縣竹北市信義街7號","121.00934","24.836946","03-6565501"
"新竹縣旅館025號","風雅汽車旅館","304新竹縣新豐鄉埔和村6鄰埔頂145-10號至145-32號","120.999841","24.9237599","03-5689899"
"新竹縣旅館026號","新大竹北商旅","302新竹縣竹北市光明九路1號1至6樓","121.0037519","24.8286775","03-6572333"
"新竹縣旅館027號","如家商旅","302新竹縣竹北市中山路663號1,3,6,7樓","121.027916","24.8334947","03-5515099"
"新竹縣旅館028號","六福大旅社","302新竹縣竹北市中山路663號4-5樓","121.00975","24.83891","03-5551337"
"新竹縣旅館029號","春城汽車旅館","304新竹縣新豐鄉中興路176號","120.996048","24.876063","03-5573377"
"新竹縣旅館030號","青葉大旅館","304新竹縣新豐鄉員山村學府路130號6樓","120.9964445","24.871384","03-5592175"
"新竹縣旅館031號","新竹安捷國際酒店","302新竹縣竹北市復興三路二段168號14樓至18樓","121.035781","24.808827","03-6209777"
