序號,專用標識編號,旅館名稱,地址,電話,分機
"1","1","佳緹商務汽車旅館","302新竹縣竹北市中華路439-1號","(03)6560016",""
"2","2","采舍精品汽車旅館","302新竹縣竹北市中山路116號","(03)6566677",""
"3","3","秘密花園汽車旅館","302新竹縣竹北市中華路329號","(03)5559900",""
"4","5","喬蓮大飯店","302新竹縣竹北市台元街33號","(03)5518171",""
"5","6","哈密瓜汽車旅館-竹北館","302新竹縣竹北市中華路1432號","(03)5519678",""
"6","7","花漾時尚旅館","302新竹縣竹北市新泰路102號","(03)5516490",""
"7","8","千禧園汽車旅館","310新竹縣竹東鎮東榮路51號","(03)5101101",""
"8","9","千里福商務旅館","305新竹縣新埔鎮義民路3段88號","(03)5892008",""
"9","10","小叮噹科學遊樂區生活大師會館","304新竹縣新豐鄉松柏村康和路199號","(03)5592132","2173"
"10","11","雀之巢汽車旅館","303新竹縣湖口鄉信義里王爺壟12-31號","(03)5903828",""
"11","12","哈客汽車旅館","305新竹縣新埔鎮義民路3段362巷126號","(03)5884995",""
"12","15","統一渡假村-馬武督","306新竹縣關西鎮馬武督34號","(03)5478889",""
"13","16","關西六福莊生態渡假旅館","306新竹縣關西鎮仁安里拱子溝60號","(03)5475365",""
"14","17","嘉巢精品汽車旅館","304新竹縣新豐鄉上坑里3鄰坑子口379號","(03)5571234",""
"15","18","萬瑞渡假村","312新竹縣橫山鄉橫山村23號","(03)5934096",""
"16","20","萊馥健康休閒渡假村","306新竹縣關西鎮玉山里2鄰12號","(03)5476199",""
"17","21","雪霸休閒渡假旅館","311新竹縣五峰鄉桃山村20鄰民石380號","(03)5856192","3"
"18","22","龍之脈汽車旅館","302新竹縣竹北市中華路340-17號","(03)5519261",""
"19","23","悅豪大飯店","302新竹縣竹北市信義街7號","(03)6565501",""
"20","25","風雅汽車旅館","304新竹縣新豐鄉埔和村6鄰埔頂145-10號","(03)5689899",""
"21","26","新大竹北商旅","302新竹縣竹北市光明九路1號1至6樓","(03)6572333",""
"22","27","如家商旅","302新竹縣竹北市中山路663號1、3、6、7樓","(03)5515099",""
"23","28","六福大旅社","302新竹縣竹北市中山路663號4、5樓","(03)5551337",""
"24","29","春城汽車旅館","304新竹縣新豐鄉中興路176號","(03)5573377",""
"25","30","青葉大旅館","304新竹縣新豐鄉學府路130號7樓之1至17、8樓","(03)5592175","7"
