序號,縣市別代碼,名稱,通過年度,證書有效期限
1,10019,中科后豐會館,113,2027/11/14
2,10019,中科大飯店,113,2027/11/14
3,10019,裕元花園酒店,113,2027/11/14
4,10019,川賦商旅,113,2027/11/14
5,10019,頭等艙飯店綠園道館,113,2027/11/14
6,10019,星漾商旅,113,2027/11/14
7,10019,星漾商旅(中清館),113,2027/11/14
8,10019,隱和旅,113,2027/11/14
9,10019,想窩11旅館,113,2027/11/14
10,10019,LA VIDA HOTEL逢甲商旅,113,2027/11/14
11,10019,清新溫泉飯店,113,2027/11/14
12,10019,台中豐邑慕奇夕酒店,113,2027/11/14
13,10019,風華嚼旅,113,2027/11/14
14,10019,夢想12旅店,113,2027/11/14
15,10019,THE LIN HOTEL TAICHUNG林酒店,113,2027/11/14
16,10019,日月千禧酒店,113,2027/11/14
17,10019,米力行旅台中火車站館,113,2027/11/14
18,10019,震大金鬱金香酒店,113,2027/11/14
19,10019,綠宿行旅,113,2027/11/14
20,10019,旅巷輕旅,113,2027/11/14
21,10019,愛麗絲國際大飯店,113,2027/11/14
22,10019,台中金典酒店,113,2027/11/14
23,10019,璞樹文旅,113,2027/11/14
24,10019,浮雲客棧旅館,113,2027/11/14
25,10019,楓采汽車旅館,112,2026/11/20
26,10019,惠來谷關溫泉會館,112,2026/11/20
27,10019,快樂腳旅棧,112,2026/11/20
28,10019,緣點旅館,112,2026/11/20
29,10019,葉綠宿-一中館,112,2026/11/20
30,10019,長榮桂冠酒店(台中),112,2026/11/20
31,10019,誠星旅館,112,2026/11/20
32,10019,富帝大飯店,112,2026/11/20
33,10019,梨山賓館,112,2026/11/20
34,10019,全國大飯店,112,2026/11/20
35,10019,台中李方艾美酒店,112,2026/11/20
36,10019,星享道酒店,112,2026/11/20
37,10019,享得道行旅,112,2026/11/20
38,10019,文華道會館,112,2026/11/20
39,10019,路得行旅台中站前館,112,2026/11/20
40,10019,二八樹巷藝術文旅,111,2025/12/17
41,10019,台中大毅老爺行旅,111,2025/12/17
42,10019,台中日光溫泉會館,111,2025/12/17
43,10019,台中兆品酒店(品臻樓),111,2025/12/17
44,10019,台中港酒店,111,2025/12/17
45,10019,兆品酒店(兆尹樓),111,2025/12/17
46,10019,茂華商旅,111,2025/12/17
47,10019,葉綠宿旅館,111,2025/12/17
48,10019,福壽山農場,111,2025/12/17
49,10019,緣橋汽車旅館,111,2025/12/17
50,10019,薆悅酒店,111,2025/12/17
51,10019,福爾摩沙草悟道酒店,111,2025/12/17
52,10019,台中商務旅館,111,2025/12/17
53,10019,台中福華大飯店,111,2025/12/17
54,10019,潛立方旅館,111,2025/12/17
55,10019,旅幸福台中館,111,2025/12/17
56,10019,漫旅光城,111,2025/12/17
57,10019,武陵富野渡假村,111,2025/12/17
