餐廳名稱,電話,地址,資料說明,人均消費金額(元)
貴賓樓餐館,(04)25873111,台中市東勢區豐勢路922之2號,臺中市客家美食餐飲小吃名冊,300
東勢田媽媽(品佳小吃部),(04)25870502,台中市東勢區東蘭路34-7號,臺中市客家美食餐飲小吃名冊,300
阿木大眾餐館,(04)25873865,台中市東勢區中山路69號,臺中市客家美食餐飲小吃名冊,600
味味香客家庭園餐廳,(04)25885616,台中市東勢區石城街石山巷11之1號,臺中市客家美食餐飲小吃名冊,500
東勢福湧樓客家料理,(04)25878020,台中市東勢區豐勢路926巷24之1號,臺中市客家美食餐飲小吃名冊,300
一品園平價現炒,(04)25773585,台中市東勢區北興里中興街60號,臺中市客家美食餐飲小吃名冊,300
津味小館,(04)25774359,台中市東勢區中盛巷25號,臺中市客家美食餐飲小吃名冊,150
三葉小吃店,(04)25876117,台中市東勢區豐勢路中盛巷10號,臺中市客家美食餐飲小吃名冊,150
憶鵝時客家小炒,(04)25203299,台中市豐原區豐陽路101號,臺中市客家美食餐飲小吃名冊,500
新加坡客家美食,(04)25724112,台中市豐原區豐勢路二段1062之1號,臺中市客家美食餐飲小吃名冊,300
石岡傳統美食小舖,(04)25721490,台中市石岡區豐勢路889之1號,臺中市客家美食餐飲小吃名冊,200
新味小吃部,(04)25722531,台中市石岡區豐勢路800之1號,臺中市客家美食餐飲小吃名冊,300
鼎豐饌餐廳,(04)25823600,台中市石岡區豐勢路1238之9號,臺中市客家美食餐飲小吃名冊,300
五福園客家餐館,(04)25819279,台中市石岡區豐勢路881巷1之1號,臺中市客家美食餐飲小吃名冊,300
土牛客家小吃,(04)25813498,台中市石岡區土牛里豐勢路399號,臺中市客家美食餐飲小吃名冊,300
山江客家料理餐廳,(04)25951667,台中市和平區東關路一段137號,臺中市客家美食餐飲小吃名冊,300
胡明月山房,(04)25822386,台中市新社區中興嶺363-168號,臺中市客家美食餐飲小吃名冊,500
震樺餐廳,(04)25815988,台中市新社區協成里協中街169號,臺中市客家美食餐飲小吃名冊,400
陶莊客家美食館,(04)24391819,台中市北屯區東山路一段377-16號,臺中市客家美食餐飲小吃名冊,500
欣燦客家風味餐廳,(04)25345178,台中市潭子區興華一路219號,臺中市客家美食餐飲小吃名冊,300
老王客家菜,(04)24734633,台中市南屯區東興路二段7號,臺中市客家美食餐飲小吃名冊,300
彩姨客家小館二店,(04)24730878,台中市南屯區文心南三路210號,臺中市客家美食餐飲小吃名冊,500
客家本色文化餐廳,(04)24635252,台中市西屯區福科路502號,臺中市客家美食餐飲小吃名冊,600
客家本色文化餐廳,(04)24925252,台中市大里區中興路一段177號,臺中市客家美食餐飲小吃名冊,500
酒足也飯飽客家小館,(04)24611468,台中市西屯區福科路528號,臺中市客家美食餐飲小吃名冊,300
姊弟客家菜,(04)22033671,台中市北區梅川東路三段156號,臺中市客家美食餐飲小吃名冊,500
鴻運客家餐廳,(04)23361456,台中市烏日區中山路二段153號,臺中市客家美食餐飲小吃名冊,300
老王客家莊,(04)23714812,台中市西區五權五街73號,臺中市客家美食餐飲小吃名冊,500
瑞丘農莊,(04)23723255,台中市西區存中街61號,臺中市客家美食餐飲小吃名冊,500
皇津客家小吃,(04)26869115,台中市大甲區經國路359號,臺中市客家美食餐飲小吃名冊,500
桐花順餐廳,(04)26321982,台中市龍井區藝術街62號2樓,臺中市客家美食餐飲小吃名冊,400
