專用標識編號,中文名稱,地址
苗栗縣旅館001號,栗華飯店,"360苗栗縣苗栗市中華路83,85號"
苗栗縣旅館002號,王府大飯店,360苗栗縣苗栗市為公路三東巷3號
苗栗縣旅館005號,琪海汽車旅館,350苗栗縣竹南鎮苗栗縣竹南鎮八德一路181號
苗栗縣旅館006號,愛情海旅館,351苗栗縣頭份市興隆路一段176號
苗栗縣旅館008號,初夏汽車旅館,363苗栗縣公館鄉苗栗縣公館鄉館南村通明街182巷9號
苗栗縣旅館009號,新興旅社,360苗栗縣苗栗市建國街3號
苗栗縣旅館011號,來來大旅社,360苗栗縣苗栗市為公路559-1號
苗栗縣旅館012號,華王大旅社,360苗栗縣苗栗市中山路3號
苗栗縣旅館015號,銀座大旅社,357苗栗縣通霄鎮光復路65號
苗栗縣旅館016號,國賓大旅社,357苗栗縣通霄鎮中正路105號
苗栗縣旅館019號,泰莉莎旅店,351苗栗縣頭份市中華路1091號4樓之1
苗栗縣旅館021號,御和園商務汽車旅館,350苗栗縣竹南鎮公義路1500號
苗栗縣旅館026號,梅芬大旅社,356苗栗縣後龍鎮勝利街250-14號
苗栗縣旅館027號,西湖渡假大飯店,367苗栗縣三義鄉西湖村西湖11號
苗栗縣旅館029號,丸松大旅社,360苗栗縣苗栗市中山路658號
苗栗縣旅館030號,新光明大旅社,350苗栗縣竹南鎮博愛街48號
苗栗縣旅館031號,米南汽車旅館,360苗栗縣苗栗市新英里新英76號
苗栗縣旅館032號,東園大飯店,351苗栗縣頭份市信東路115號
苗栗縣旅館035號,台灣新旅社,350苗栗縣竹南鎮中山路28號1-2樓
苗栗縣旅館036號,九龍大飯店,350苗栗縣竹南鎮中山路136號
苗栗縣旅館038號,中興旅社,366苗栗縣銅鑼鄉銅鑼里新興路4號
苗栗縣旅館039號,佳來大旅社,351苗栗縣頭份市和平路92號
苗栗縣旅館040號,高賓旅社,360苗栗縣苗栗市中正路116號
苗栗縣旅館043號,竹豐旅社,350苗栗縣竹南鎮和平街95號
苗栗縣旅館046號,日出溫泉渡假飯店,365苗栗縣泰安鄉錦水村橫龍山34號
苗栗縣旅館047號,綠庭商務旅館,360苗栗縣苗栗市中正路462號5樓
苗栗縣旅館049號,福星大旅社,360苗栗縣苗栗市中山路236號
苗栗縣旅館050號,月心汽車旅館,360苗栗縣苗栗市經國路四段505巷9號
苗栗縣旅館053號,國泰大旅社,358苗栗縣苑裡鎮中山路182號
苗栗縣旅館054號,金龍大旅社,356苗栗縣後龍鎮北龍里中山街88-11號
苗栗縣旅館057號,虎山溫泉會館,365苗栗縣泰安鄉錦水村圓墩73-1號
苗栗縣旅館058號,騰龍山莊,365苗栗縣泰安鄉錦水村橫龍山5號
苗栗縣旅館059號,芝柏山汽車旅?,350苗栗縣竹南鎮四維街90號
苗栗縣旅館061號,欣悅商務旅店,351苗栗縣頭份市自強里中華路1319號1-5樓
苗栗縣旅館062號,南苗大旅社,360苗栗縣苗栗市中正路898號
苗栗縣旅館063號,春谷農場,353苗栗縣南庄鄉南江里14鄰小東河25號
苗栗縣旅館067號,遊桐花休閒汽車旅館,356苗栗縣後龍鎮龍坑里十班坑155-16號
苗栗縣旅館068號,御香園商務汽車旅館,357苗栗縣通霄鎮中山路522號
苗栗縣旅館069號,頭緣汽車旅館,351苗栗縣頭份市工業路25號
苗栗縣旅館070號,泰安觀止溫泉會館,365苗栗縣泰安鄉錦水村圓墩58-7號
苗栗縣旅館071號,湯悅溫泉會館,365苗栗縣泰安鄉錦水村橫龍山45號
苗栗縣旅館074號,亞漫妮商務汽車旅館,351苗栗縣頭份市公園六街96號
苗栗縣旅館075號,楓林時尚汽車旅館,363苗栗縣公館鄉五谷村2鄰五谷二路216號
苗栗縣旅館077號,欣達休閒旅館 (在飛牛牧場內),357苗栗縣通霄鎮南和167-1號
